audit_date,task,status,array_index,profile_rows,checkpoint_epoch_zero_based,checkpoint_global_step,optimizer_state,scheduler_state,prediction_artifact,resume_checkpoint
2026-09-10,N040/pair01_A,complete,,1771,,,,,N040/pair01_A/predictions/40_datasets_mix_17cf2d/queueNB_DataN40_h936a15_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N040/pair01_B,complete,,1771,,,,,N040/pair01_B/predictions/40_datasets_mix_3794d5/queueNB_DataN40_hc5d3c7_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N040/pair02_A,resume,4,,18,7638,True,True,,N040/pair02_A/checkpoints/40_datasets_mix_98abf6/queueNB_DataN40_h5f8ea2_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/real_exp8_N040_pair02_A/last.ckpt
2026-09-10,N040/pair02_B,fresh_start,5,,,,,,,
2026-09-10,N040/pair03_A,resume,6,,21,8954,True,True,,N040/pair03_A/checkpoints/40_datasets_mix_28d82c/queueNB_DataN40_hbf122c_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/real_exp8_N040_pair03_A/last.ckpt
2026-09-10,N040/pair03_B,resume,7,,27,11424,True,True,,N040/pair03_B/checkpoints/40_datasets_mix_118202/queueNB_DataN40_hb73759_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/real_exp8_N040_pair03_B/last.ckpt
2026-09-10,N080/subset01,resume,1,,34,14525,True,True,,N080/subset01/checkpoints/80_datasets_mix_7cc507/queueNB_DataN80_h0dba51_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/real_exp8_N080_subset01/last.ckpt
2026-09-10,N080/subset02,resume,2,,33,14042,True,True,,N080/subset02/checkpoints/80_datasets_mix_edfad5/queueNB_DataN80_h6c15ad_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/real_exp8_N080_subset02/last.ckpt
2026-09-10,N080/subset03,resume,3,,29,12390,True,True,,N080/subset03/checkpoints/80_datasets_mix_34ddbf/queueNB_DataN80_h670af1_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/real_exp8_N080_subset03/last.ckpt
2026-09-10,N114/full,resume,0,,25,10842,True,True,,N114/full/checkpoints/114_datasets_mix_587510/queueNB_DataN114_haf41ed_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/real_exp8_N114_full/last.ckpt
